Row,state_fips_code,county_fips_code,block_group_fips_code,block_geo_id,county_geo_id,state_name,county_name,state,block_year,county_year,block_adi_percent,county_adi_percent
131,1,10,10059502002,15000US010059502002,05000US01005,Alabama,Barbour County,AL,2018,2018,83,94
132,1,10,10059502003,15000US010059502003,05000US01005,Alabama,Barbour County,AL,2018,2018,85,94
133,1,10,10059503001,15000US010059503001,05000US01005,Alabama,Barbour County,AL,2018,2018,83,94
134,1,10,10059503002,15000US010059503002,05000US01005,Alabama,Barbour County,AL,2018,2018,93,94
135,1,10,10059504001,15000US010059504001,05000US01005,Alabama,Barbour County,AL,2018,2018,55,94
136,1,10,10059504002,15000US010059504002,05000US01005,Alabama,Barbour County,AL,2018,2018,67,94
137,1,10,10059504003,15000US010059504003,05000US01005,Alabama,Barbour County,AL,2018,2018,89,94
138,1,10,10059505001,15000US010059505001,05000US01005,Alabama,Barbour County,AL,2018,2018,49,94
139,1,10,10059505002,15000US010059505002,05000US01005,Alabama,Barbour County,AL,2018,2018,75,94
140,1,10,10059505003,15000US010059505003,05000US01005,Alabama,Barbour County,AL,2018,2018,84,94
141,1,10,10059506001,15000US010059506001,05000US01005,Alabama,Barbour County,AL,2018,2018,93,94
142,1,10,10059506002,15000US010059506002,05000US01005,Alabama,Barbour County,AL,2018,2018,87,94
143,1,10,10059507001,15000US010059507001,05000US01005,Alabama,Barbour County,AL,2018,2018,71,94
144,1,10,10059507002,15000US010059507002,05000US01005,Alabama,Barbour County,AL,2018,2018,91,94
145,1,10,10059508001,15000US010059508001,05000US01005,Alabama,Barbour County,AL,2018,2018,75,94
146,1,10,10059508002,15000US010059508002,05000US01005,Alabama,Barbour County,AL,2018,2018,48,94
147,1,10,10059509001,15000US010059509001,05000US01005,Alabama,Barbour County,AL,2018,2018,70,94
148,1,10,10059509002,15000US010059509002,05000US01005,Alabama,Barbour County,AL,2018,2018,85,94
149,1,10,10059509003,15000US010059509003,05000US01005,Alabama,Barbour County,AL,2018,2018,96,94
150,1,10,10070100011,15000US010070100011,05000US01007,Alabama,Bibb County,AL,2018,2018,59,70
